Generation,Bot A,Bot B,Score A,Score B,Winner
1,AlwaysCooperate,AlwaysDefect,16,1476,AlwaysDefect
1,AlwaysCooperate,ChaosAgent,583,1088,ChaosAgent
1,AlwaysCooperate,JustinBot,844,929,JustinBot
1,AlwaysCooperate,Mia,792,957,Mia
1,AlwaysCooperate,Punisher,597,1077,Punisher
1,AlwaysCooperate,Ratatoskr,865,915,Ratatoskr
1,AlwaysCooperate,TotBot,420,1200,TotBot
1,AlwaysCooperate,TitForTat,877,902,TitForTat
1,AlwaysCooperate,WouldILieToYou,43,1438,WouldILieToYou
1,AlwaysCooperate,TotReversedBot,869,914,TotReversedBot
1,AlwaysCooperate,GenerousTitForTat,873,908,GenerousTitForTat
1,AlwaysCooperate,Ygddrasil,270,1290,Ygddrasil
1,AlwaysCooperate,Sheamus,889,884,AlwaysCooperate
1,AlwaysDefect,ChaosAgent,1075,135,AlwaysDefect
1,AlwaysDefect,JustinBot,425,305,AlwaysDefect
1,AlwaysDefect,Mia,617,237,AlwaysDefect
1,AlwaysDefect,Punisher,516,286,AlwaysDefect
1,AlwaysDefect,Ratatoskr,325,330,Ratatoskr
1,AlwaysDefect,TotBot,387,322,AlwaysDefect
1,AlwaysDefect,TitForTat,356,316,AlwaysDefect
1,AlwaysDefect,WouldILieToYou,511,276,AlwaysDefect
1,AlwaysDefect,TotReversedBot,832,192,AlwaysDefect
1,AlwaysDefect,GenerousTitForTat,429,279,AlwaysDefect
1,AlwaysDefect,Ygddrasil,873,183,AlwaysDefect
1,AlwaysDefect,Sheamus,1430,45,AlwaysDefect
1,ChaosAgent,JustinBot,837,692,ChaosAgent
1,ChaosAgent,Mia,786,786,Draw
1,ChaosAgent,Punisher,546,971,Punisher
1,ChaosAgent,Ratatoskr,127,1082,Ratatoskr
1,ChaosAgent,TotBot,442,1112,TotBot
1,ChaosAgent,TitForTat,778,823,TitForTat
1,ChaosAgent,WouldILieToYou,88,1208,WouldILieToYou
1,ChaosAgent,TotReversedBot,865,900,TotReversedBot
1,ChaosAgent,GenerousTitForTat,817,812,ChaosAgent
