Generation,Bot A,Bot B,Score A,Score B,Winner
1,AlwaysCooperate,AlwaysDefect,62,2432,AlwaysDefect
1,AlwaysCooperate,ChaosAgent,1039,1779,ChaosAgent
1,AlwaysCooperate,JustinBot,1410,1525,JustinBot
1,AlwaysCooperate,Mia,1305,1605,Mia
1,AlwaysCooperate,Punisher,981,1821,Punisher
1,AlwaysCooperate,Ratatoskr,1485,1475,AlwaysCooperate
1,AlwaysCooperate,Sheamus,1475,1490,Sheamus
1,AlwaysCooperate,TotBot,658,2023,TotBot
1,AlwaysCooperate,Ygddrasil,604,2064,Ygddrasil
1,AlwaysCooperate,TitForTat,1440,1510,TitForTat
1,AlwaysCooperate,GenerousTitForTat,1477,1482,GenerousTitForTat
1,AlwaysCooperate,WouldILieToYou,201,2321,WouldILieToYou
1,AlwaysCooperate,TotReversedBot,1444,1514,TotReversedBot
1,AlwaysDefect,ChaosAgent,1812,212,AlwaysDefect
1,AlwaysDefect,JustinBot,700,505,AlwaysDefect
1,AlwaysDefect,Mia,1051,406,AlwaysDefect
1,AlwaysDefect,Punisher,958,443,AlwaysDefect
1,AlwaysDefect,Ratatoskr,548,543,AlwaysDefect
1,AlwaysDefect,Sheamus,603,523,AlwaysDefect
1,AlwaysDefect,TotBot,638,538,AlwaysDefect
1,AlwaysDefect,Ygddrasil,1463,318,AlwaysDefect
1,AlwaysDefect,TitForTat,611,521,AlwaysDefect
1,AlwaysDefect,GenerousTitForTat,779,474,AlwaysDefect
1,AlwaysDefect,WouldILieToYou,735,470,AlwaysDefect
1,AlwaysDefect,TotReversedBot,1502,302,AlwaysDefect
1,ChaosAgent,JustinBot,1484,1249,ChaosAgent
1,ChaosAgent,Mia,1298,1343,Mia
1,ChaosAgent,Punisher,975,1565,Punisher
1,ChaosAgent,Ratatoskr,1241,1421,Ratatoskr
1,ChaosAgent,Sheamus,1383,1403,Sheamus
1,ChaosAgent,TotBot,607,2017,TotBot
1,ChaosAgent,Ygddrasil,735,1940,Ygddrasil
1,ChaosAgent,TitForTat,1457,1497,TitForTat
1,ChaosAgent,GenerousTitForTat,1466,1506,GenerousTitForTat
